OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BTR,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
02/21/2017,18,44,49,2,113,2,0,1,1,4,0,0,14,0,14,0,0,5,0,5,63,0,63,190,199,
02/22/2017,20,53,74,0,147,0,0,0,0,0,0,4,73,0,77,0,0,9,0,9,6,0,6,230,239,
02/23/2017,18,50,57,0,125,0,1,1,0,2,0,3,57,2,62,0,0,8,1,9,10,0,10,197,208,
02/24/2017,20,37,75,0,132,0,0,3,0,3,0,0,52,0,52,0,0,6,0,6,24,0,24,208,217,
02/25/2017,16,26,18,0,60,0,1,0,0,1,0,0,43,0,43,0,1,18,0,19,0,0,0,103,123,
02/26/2017,14,29,27,0,70,0,0,0,0,0,0,2,45,0,47,0,0,5,0,5,24,0,24,141,146,
02/27/2017,19,36,19,0,74,0,0,0,0,0,0,2,1,0,3,0,0,2,0,2,0,0,0,77,79,
02/28/2017,15,41,44,0,100,0,1,3,0,4,0,1,9,0,10,0,0,5,0,5,0,0,0,110,119,
03-01-2017,20,44,52,0,116,0,0,2,2,4,0,0,19,0,19,0,0,5,0,5,20,0,20,155,164,
03-02-2017,18,43,67,0,128,1,1,0,0,2,0,4,52,4,60,0,1,8,0,9,6,0,6,194,205,
03-03-2017,18,36,49,6,109,1,2,1,0,4,0,0,47,0,47,0,1,12,1,14,0,0,0,156,174,
03-04-2017,13,30,37,0,80,0,0,0,0,0,0,1,35,0,36,0,0,5,0,5,0,0,0,116,121,
03-05-2017,15,29,35,0,79,0,2,3,0,5,0,0,18,0,18,0,1,1,1,3,0,0,0,97,105,
03-06-2017,18,39,54,2,113,0,0,2,1,3,0,0,18,0,18,0,0,4,0,4,0,0,0,131,138,
03-07-2017,22,43,32,2,99,1,1,0,0,2,0,0,2,0,2,0,0,0,0,0,23,0,23,124,126,
03-08-2017,18,36,64,8,126,0,1,0,1,2,0,0,59,3,62,0,0,6,0,6,0,0,0,188,196,
03-09-2017,18,46,54,9,127,1,0,0,0,1,0,0,35,0,35,0,2,8,0,10,2,0,2,164,175,
03-10-2017,14,43,49,0,106,1,1,0,0,2,0,0,23,0,23,0,0,7,0,7,30,0,30,159,168,
03-11-2017,15,21,20,0,56,0,1,1,0,2,0,0,17,0,17,0,0,3,0,3,0,0,0,73,78,
03-12-2017,14,35,41,1,91,1,2,0,0,3,0,0,16,1,17,0,0,0,0,0,48,0,48,156,159,
03/13/2017,15,38,42,0,95,0,0,2,0,2,0,0,9,2,11,0,0,4,0,4,0,0,0,106,112,
03/14/2017,17,38,34,1,90,1,0,0,1,2,0,0,55,3,58,0,0,11,0,11,30,0,30,178,191,
03/15/2017,17,42,53,2,114,0,1,1,0,2,0,2,54,0,56,0,0,10,0,10,0,0,0,170,182,
03/16/2017,18,46,48,4,116,1,1,0,0,2,0,2,37,0,39,0,2,9,0,11,42,0,42,197,210,
03/17/2017,17,39,67,2,125,0,1,1,0,2,0,3,33,0,36,0,0,3,0,3,44,0,44,205,210,
03/18/2017,13,23,34,0,70,0,1,1,0,2,0,6,31,0,37,0,0,4,0,4,24,6,30,137,143,
03/19/2017,15,33,57,0,105,0,1,1,0,2,0,0,31,0,31,0,0,1,0,1,0,0,0,136,139,
03/20/2017,16,40,47,2,105,0,0,2,0,2,0,2,28,2,32,0,0,8,1,9,24,0,24,161,172,
03/21/2017,15,41,58,2,116,0,0,0,1,1,0,1,48,0,49,0,1,5,0,6,10,0,10,175,182,
03/22/2017,20,44,54,0,118,0,1,2,0,3,0,2,47,0,49,0,0,2,1,3,6,0,6,173,179,
03/23/2017,22,43,71,8,144,0,0,2,0,2,0,7,58,0,65,0,2,5,0,7,10,18,28,237,246,
03/24/2017,16,38,49,8,111,0,0,0,0,0,0,0,11,0,11,0,1,3,0,4,14,0,14,136,140,
03/25/2017,14,24,15,0,53,0,0,0,0,0,0,0,10,0,10,0,1,1,0,2,0,0,0,63,65,
03/26/2017,13,30,59,0,102,0,0,1,0,1,0,2,22,0,24,0,0,0,1,1,36,0,36,162,164,
03/27/2017,17,37,27,2,83,0,0,0,1,1,0,4,29,0,33,0,0,6,0,6,31,0,31,147,154,
03/28/2017,20,39,53,0,112,0,0,0,0,0,0,5,26,3,34,0,0,5,0,5,0,0,0,146,151,
